airline,day_of_week,number_of_flights
AA,Monday,8761
AS,Monday,2599
B6,Monday,4316
DL,Monday,13669
EV,Monday,10431
F9,Monday,1417
HA,Monday,1247
MQ,Monday,6056
NK,Monday,1699
OO,Monday,9845
UA,Monday,8077
US,Monday,6565
VX,Monday,978
WN,Monday,20373
AA,Tuesday,8388
AS,Tuesday,2471
B6,Tuesday,4037
DL,Tuesday,12481
EV,Tuesday,9983
F9,Tuesday,1271
HA,Tuesday,1206
MQ,Tuesday,5826
NK,Tuesday,1661
OO,Tuesday,9109
UA,Tuesday,7556
US,Tuesday,5983
VX,Tuesday,877
WN,Tuesday,20328
AA,Wednesday,8479
AS,Wednesday,2502
B6,Wednesday,4048
DL,Wednesday,12901
EV,Wednesday,10032
F9,Wednesday,1326
HA,Wednesday,1235
MQ,Wednesday,5988
NK,Wednesday,1693
OO,Wednesday,9339
UA,Wednesday,7557
US,Wednesday,6845
VX,Wednesday,906
WN,Wednesday,20330
AA,Thursday,10144
AS,Thursday,3090
B6,Thursday,5058
DL,Thursday,15279
EV,Thursday,11743
F9,Thursday,1596
HA,Thursday,1455
MQ,Thursday,6979
NK,Thursday,1986
OO,Thursday,11256
UA,Thursday,9472
US,Thursday,8055
VX,Thursday,1131
WN,Thursday,23091
AA,Friday,9949
AS,Friday,3045
B6,Friday,4877
DL,Friday,15619
EV,Friday,12017
F9,Friday,1558
HA,Friday,1517
MQ,Friday,6924
NK,Friday,1937
OO,Friday,11258
UA,Friday,9309
US,Friday,7967
VX,Friday,1147
WN,Friday,23092
AA,Saturday,7852
AS,Saturday,2490
B6,Saturday,3850
DL,Saturday,9792
EV,Saturday,7166
F9,Saturday,1005
HA,Saturday,1203
MQ,Saturday,4770
NK,Saturday,1696
OO,Saturday,7973
UA,Saturday,5706
US,Saturday,5583
VX,Saturday,705
WN,Saturday,16633
AA,Sunday,8592
AS,Sunday,2613
B6,Sunday,4247
DL,Sunday,12122
EV,Sunday,9073
F9,Sunday,1357
HA,Sunday,1228
MQ,Sunday,5855
NK,Sunday,1700
OO,Sunday,9203
UA,Sunday,6918
US,Sunday,6319
VX,Sunday,951
WN,Sunday,17635
